"序號","公司代號","公司名稱","董事會決議日期","買回目的","買回股份總金額上限(依最新財報計算之法定上限)","預定買回股數","買回價格區間-最低","買回價格區間-最高","預定買回期間-起","預定買回期間-迄","是否執行完畢","買回達一定標準資料","本次已買回股數(空白為尚在執行中)","本次執行完畢已註銷或轉讓股數","本次已買回股數佔預定買回股數比例(%)(空白為尚<br>在執行中)","本次已買回總金額(空白為尚在執行中)","本次平均每股買回價格(空白為尚在執行中)","本次買回股數佔公司已發行股份總數比例(%)(空白為尚在執行中)","本次未執行完畢之原因"
"112","2338","光罩","2017/07/13","1",712681931,20000000,12.00,20.00,"2017/07/17","2017/09/13","Y","查詢",20000000,20000000,100.00,357063002,17.85,7.91,""
"113","2206","三陽工業","2017/07/26","1",3221689573,12000000,15.00,32.00,"2017/07/27","2017/09/25","Y","查詢",9416000,"",78.47,194497422,20.66,1.08,"為維護股東權益及兼顧市場機制，視股價變化及成交量狀況採行分批買回策略，故未執行完畢。"
"114","6191","精成科","2017/07/28","3",5293390239,8000000,10.00,13.00,"2017/07/31","2017/09/29","Y","查詢",8000000,8000000,100.00,94224222,11.78,1.53,""
"115","1437","勤益控","2017/08/04","3",481774490,1000000,15.00,25.00,"2017/08/07","2017/10/06","Y","查詢",1000000,1000000,100.00,17544387,17.54,0.51,""
"116","2316","楠梓電","2017/08/04","3",3693583484,20000000,13.16,26.61,"2017/08/07","2017/10/06","Y","查詢",14922000,14922000,74.61,312296432,20.93,6.25,"為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採行分批買回策略，故未執行完畢。"
"117","6464","台數科","2017/08/04","3",4463196457,800000,116.00,160.00,"2017/08/07","2017/10/06","Y","查詢",800000,800000,100.00,96027919,120.03,0.62,""
"118","2461","光群雷","2017/08/09","3",942701414,5000000,10.68,22.83,"2017/08/10","2017/10/09","Y","查詢",5000000,5000000,100.00,78020508,15.60,3.73,""
"119","1604","聲寶","2017/08/10","1",580667446,20000000,14.00,16.00,"2017/08/11","2017/10/06","Y","查詢",11000000,4200000,55.00,162641182,14.79,2.20,"為維護整體股東權益及兼顧市場機制，視股價變化於價格區間內採分批買回策略，故未執行完畢。"
"120","2323","中環","2017/08/11","3",1447929000,50000000,3.00,5.00,"2017/08/15","2017/10/13","Y","查詢",47224000,47224000,94.45,200979336,4.26,2.51,"為維護整體股東權益及兼顧市場機制，視股價變化於價格區間內採分批買回策略，故未執行完畢"
"121","2236","百達-KY","2017/08/17","1",784316524,800000,50.00,65.00,"2017/08/18","2017/10/17","Y","查詢",636000,"",79.50,36097357,56.76,1.66,"本公司視股價變化於價格區間內採取分批買回策略，執行率為79.50%，基於兼顧市場機制及維護股東權益，並考量資金效益，故本次庫藏股未能執行完畢。"
"122","2496","卓越","2017/08/17","1",553439584,500000,140.00,310.00,"2017/08/18","2017/10/17","Y","查詢",0,"",0.00,0,0.00,0.00,"為尊重市場機制及未來員工認股意願，將資金運用於提升營運效益，故未執行完畢。"
"123","2841","台開","2017/08/22","1",1335002946,6000000,10.00,12.00,"2017/08/23","2017/10/21","Y","查詢",3465000,3465000,57.75,35964274,10.38,0.46,"為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採行分批買回策略，故未執行完畢。"
"124","2365","昆盈","2017/08/31","3",998013327,10000000,9.00,13.50,"2017/09/01","2017/10/30","Y","查詢",10000000,10000000,100.00,101325600,10.13,3.87,""
"125","4414","如興","2017/09/22","1",5492252152,40000000,15.00,27.00,"2017/08/31","2017/10/29","Y","查詢",33687000,"",84.22,686170831,20.37,3.95,"基於資金有效運用及維護股東權益並兼顧市場機制，本公司視股價變化及成交量狀況，採行分批買回策略，故未執行完畢。"
"126","6206","飛捷","2017/09/26","3",2704468923,5000000,80.00,105.00,"2017/09/27","2017/11/26","Y","查詢",3306000,3306000,66.12,285952585,86.50,2.26,"執行期間股價回穩已達維護公司信用及股東權益之目的,故未執行完畢"
"127","6464","台數科","2017/09/26","3",4560723249,800000,116.00,160.00,"2017/09/27","2017/11/24","Y","查詢",800000,800000,100.00,94499410,118.12,0.62,""
"128","3018","同開","2017/10/16","1",152915595,1000000,43.00,86.00,"2017/10/17","2017/12/16","Y","查詢",1000000,"",100.00,70458742,70.46,1.53,""
"129","2885","元大金","2017/10/25","3",69871873713,68965000,12.00,14.50,"2017/10/26","2017/12/25","Y","查詢",68965000,68965000,100.00,939347306,13.62,0.58,""
"130","2841","台開","2017/10/30","1",1335002946,6000000,10.00,12.00,"2017/10/31","2017/12/29","Y","查詢",6000000,6000000,100.00,60192026,10.03,0.79,""
"131","6269","台郡","2017/11/01","3",13248793855,5000000,90.00,160.00,"2017/11/02","2017/12/20","Y","查詢",5000000,2513562,100.00,584750001,116.95,1.57,""
"132","2008","高興昌","2017/11/10","3",672110777,22300000,7.50,14.50,"2017/11/13","2018/01/12","Y","查詢",22300000,22300000,100.00,261175611,11.71,9.99,""
"133","4306","炎洲","2017/11/13","1",2200042000,10000000,13.80,20.00,"2017/11/14","2018/01/12","Y","查詢",9380000,"",93.80,139272500,14.85,1.75,"為維護股東權益並兼顧市場機制，視股價變化及成交量狀況，採行分批買回策略，故未執行完畢。"
"134","6464","台數科","2017/11/27","3",4734076020,1200000,116.00,160.00,"2017/11/28","2018/01/26","Y","查詢",1200000,1200000,100.00,144390743,120.33,0.95,""
"135","5203","訊連","2017/12/12","3",2853590240,3000000,50.00,75.00,"2017/12/13","2018/02/12","Y","查詢",2999000,2999000,99.97,197937043,66.00,3.44,"本公司為兼顧市場機制及維護全體股東權益，視股價變化及成交量狀況採分批買回策略，因而未依原預定數量完全執行完畢。"
"136","1626","艾美特-KY","2017/12/15","1",1216996789,500000,16.75,38.00,"2018/01/03","2018/02/12","Y","查詢",500000,500000,100.00,12474120,24.95,0.41,""
"137","1598","岱宇","2017/12/21","1",950382893,4000000,30.00,50.00,"2017/12/22","2018/02/21","Y","查詢",4000000,"",100.00,172339773,43.08,4.30,""
"138","2107","厚生","2017/12/22","3",6515338989,10000000,14.00,18.00,"2017/12/25","2018/02/23","Y","查詢",10000000,10000000,100.00,159535956,15.95,2.63,""
"139","2020","美亞","2017/12/26","3",769100324,3000000,9.45,20.31,"2017/12/27","2018/02/26","Y","查詢",3000000,3000000,100.00,42510140,14.17,1.28,""
"140","2841","台開","2017/12/27","1",1249867419,8000000,9.00,11.00,"2017/12/28","2018/02/26","Y","查詢",8000000,8000000,100.00,80173113,10.02,1.05,""
"141","1589","永冠-KY","2018/01/09","3",8366148206,7200000,45.85,99.44,"2018/01/10","2018/03/09","Y","查詢",7200000,7200000,100.00,549584268,76.33,6.06,""
"142","3054","立萬利","2018/01/11","1",281373482,6000000,14.56,28.83,"2018/01/12","2018/03/11","Y","查詢",5969000,"",99.48,129408804,21.68,4.93,"為維護股東權益並兼顧市場機制，視股價變化及成交量狀況，故未執行完畢。"
"143","2425","承啟","2018/01/16","3",586553410,10924000,10.50,22.75,"2018/01/17","2018/03/16","Y","查詢",7750000,7750000,70.94,150272544,19.39,7.09,"因股價超過申報買回區間價格，故未能執行完畢。"
"144","2236","百達-KY","2018/01/17","3",767003880,500000,45.00,65.00,"2018/01/18","2018/03/17","Y","查詢",500000,500000,100.00,26907541,53.82,1.31,""
"145","6456","GIS-KY","2018/01/29","1",19183717246,3000000,153.00,301.00,"2018/01/30","2018/03/29","Y","查詢",1500000,"",50.00,267624425,178.42,0.44,"本公司基於維護股東權益與兼顧市場機制，並考量後續資金運用，故未予以執行完畢。"
"146","1101","台泥","2018/02/02","1",47291021000,6000000,26.53,56.63,"2018/02/05","2018/04/03","Y","查詢",6000000,6000000,100.00,218165694,36.36,0.14,""
"147","3708","上緯投控","2018/02/05","1",2089081056,1000000,64.00,126.00,"2018/02/06","2018/04/03","Y","查詢",544000,"",54.40,44794354,82.34,0.60,"為兼顧市場機制及維護全體股東權益，視股價變化及成交量狀況採分批買回策略，故未依原預定數量全部執行完畢。"
"148","2206","三陽工業","2018/02/07","3",3746234859,15000000,15.00,31.00,"2018/02/08","2018/04/03","Y","查詢",15000000,15000000,100.00,318895709,21.26,1.73,""
"149","2362","藍天","2018/02/08","1",3959905691,20000000,25.00,32.00,"2018/02/09","2018/04/08","Y","查詢",10000000,"",50.00,294157220,29.42,1.46,"執行期間因實際交易日只有31天，平均每日成交量低於預期，本公司買回均量約達市場交易量5成，並且交易期間股價穩定，故本次並未執行完畢。"
"150","8112","至上","2018/02/13","1",3296915946,10000000,20.00,30.00,"2018/02/21","2018/04/12","Y","查詢",3046000,3046000,30.46,85778876,28.16,0.82,"買回期間股價逐漸穩定"
"151","2841","台開","2018/02/21","1",1249867419,10000000,9.00,12.00,"2018/02/22","2018/04/20","Y","查詢",6850000,6850000,68.50,66721464,9.74,0.90,"為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採行分批買回策略，故未執行完畢。"
"152","1316","上曜","2018/02/23","1",344281725,5000000,20.00,28.00,"2018/02/26","2018/04/22","Y","查詢",4832000,5000000,96.64,105178750,21.77,3.78,"為維護股東權益與兼顧市場機制，故本次買回未予執行完畢。"
"153","3038","全台","2018/03/02","3",195684621,4000000,7.00,11.00,"2018/03/02","2018/04/30","Y","查詢",4000000,4000000,100.00,39878555,9.97,2.18,""
"154","2365","昆盈","2018/03/05","3",1042941048,6000000,9.00,13.00,"2018/03/06","2018/05/04","Y","查詢",6000000,6000000,100.00,62027511,10.34,2.46,""
"155","2303","聯電","2018/03/07","3",86369479858,200000000,9.85,21.30,"2018/03/08","2018/05/07","Y","查詢",200000000,200000000,100.00,3129182054,15.65,1.58,""
"156","2233","宇隆","2018/03/16","1",1830635024,2500000,90.00,140.00,"2018/03/19","2018/05/18","Y","查詢",91000,"",3.64,9915059,108.96,0.18,"基於資金有效運用及維護股東權益並兼顧市場機制，本公司視股價變化及成交量狀況，採行分批買回策略，故未執行完畢。"
"157","2312","金寶","2018/03/20","1",1734588012,40000000,7.30,15.50,"2018/03/21","2018/05/18","Y","查詢",40000000,"",100.00,412596743,10.31,2.75,""
"158","2911","麗嬰房","2018/03/22","3",1169837483,6000000,10.00,17.20,"2018/03/22","2018/05/22","Y","查詢",6000000,6000000,100.00,80523249,13.42,2.94,""
"159","6197","佳必琪","2018/03/22","1",1823480914,2000000,25.00,35.00,"2018/03/23","2018/05/22","Y","查詢",2000000,2000000,100.00,56890757,28.45,1.54,""
"160","2936","客思達-KY","2018/03/23","1",2224212432,500000,21.00,38.00,"2018/03/26","2018/05/25","Y","查詢",500000,"",100.00,12860943,25.72,0.65,""
"161","1473","台南","2018/03/27","1",2192679049,1000000,23.00,30.00,"2018/03/28","2018/05/27","Y","查詢",1000000,"",100.00,22663182,22.66,0.68,""
"162","2362","藍天","2018/04/03","1",2614296038,10000000,21.00,44.00,"2018/04/09","2018/06/08","Y","查詢",10000000,"",100.00,313762472,31.38,1.46,""
"163","2444","兆勁","2018/04/22","1",120521444,4000000,27.00,30.00,"2018/04/23","2018/06/22","Y","查詢",3988000,"",99.70,113252406,28.40,3.78,"截至107.05.17 買回 3,988張,因兼顧市場機制不影響股價,本公司視股價變化及成交量狀況採分批買回,故未能執行完畢."
"164","2841","台開","2018/04/25","1",1496667583,8000000,9.00,12.00,"2018/04/26","2018/06/25","Y","查詢",8000000,8000000,100.00,74296489,9.29,1.05,""
"165","2885","元大金","2018/04/25","3",72083955474,134000000,12.00,17.00,"2018/04/26","2018/06/25","Y","查詢",134000000,134000000,100.00,1919001240,14.32,1.13,""
"166","8478","東哥遊艇","2018/04/27","3",1714596723,3000000,39.00,86.00,"2018/04/28","2018/06/26","Y","查詢",1992000,1992000,66.40,125376026,62.94,2.11,"為維護股東權益與兼顧市場機制，故本次買回未予執行完畢。"
"167","3679","新至陞","2018/05/02","3",3317799682,3400000,67.00,100.00,"2018/05/03","2018/07/02","Y","查詢",1433000,1433000,42.15,112015548,78.17,1.81,"因兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採分批買回，故未予以執行完畢"
"168","4977","眾達-KY","2018/05/03","3",902183618,1500000,65.00,120.00,"2018/05/04","2018/07/03","Y","查詢",824000,824000,54.93,69493038,84.34,1.35,"基於資金有效運用及維護股東權益並兼顧市場機制，本公司視股價變化及成交量狀況，採行分批買回策略，故未執行完畢。"
"169","6131","鈞泰","2018/05/04","1",158389863,7500000,13.00,20.00,"2018/05/07","2018/07/06","Y","查詢",7500000,"",100.00,119232152,15.90,7.36,""
"170","8213","志超","2018/05/07","1",7340343655,2100000,20.10,43.55,"2018/05/08","2018/07/07","Y","查詢",2100000,2100000,100.00,62919781,29.96,0.77,""
"171","2363","矽統","2018/05/10","1",5303432023,6000000,6.17,13.59,"2018/05/11","2018/07/10","Y","查詢",6000000,6000000,100.00,67224700,11.20,1.07,""
"172","4414","如興","2018/05/11","1",5365712512,30000000,12.00,22.00,"2018/05/11","2018/07/09","Y","查詢",29701000,"",99.00,443958446,14.95,3.29,"基於資金有效運用及維護股東權益並兼顧市場機制，本公司視股價變化及成交量狀況，採行分批買回策略，故未執行完畢。"
"173","8499","鼎炫-KY","2018/05/11","3",898406210,1500000,65.00,90.00,"2018/05/14","2018/07/13","Y","查詢",464000,464000,30.93,39598197,85.34,0.90,"因兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採分批買回，故未予以執行完畢。"
"174","2841","台開","2018/05/30","1",1091377530,10000000,9.00,12.00,"2018/05/31","2018/07/30","Y","查詢",10000000,10000000,100.00,92103038,9.21,1.31,""
"175","6269","台郡","2018/06/11","1",14367166517,5000000,70.00,120.00,"2018/06/12","2018/07/11","Y","查詢",2506000,2506000,50.12,233992478,93.37,0.79,"本公司基於維護股東權益與兼顧市場機制、並考量資金效益，故本次庫藏股未能執行完畢。"
"176","2939","凱羿-KY","2018/07/10","3",1080723163,2000000,100.00,200.00,"2018/07/11","2018/09/10","Y","查詢",2000000,2000000,100.00,283485643,141.74,4.00,""
"177","2461","光群雷","2018/07/13","3",1146845497,6000000,9.73,22.51,"2018/07/16","2018/09/15","Y","查詢",6000000,6000000,100.00,88356492,14.73,3.63,""
"178","2327","國巨","2018/07/17","1",25070451424,4500000,632.80,1616.80,"2018/07/19","2018/09/17","Y","查詢",2965000,"",65.89,2421551797,816.71,0.85,"為顧及本公司長期資金之規劃及有效運用，故未予以全部執行完畢。"
"179","4414","如興","2018/07/20","1",5499989360,20000000,11.00,22.00,"2018/07/23","2018/09/20","Y","查詢",20000000,"",100.00,281017158,14.05,2.21,""
"180","3545","敦泰","2018/07/26","1",7689512172,8000000,17.68,39.65,"2018/07/27","2018/09/26","Y","查詢",8000000,7848000,100.00,192810452,24.10,2.68,""
"181","5469","瀚宇博","2018/07/30","1",7011052056,1000000,21.00,37.00,"2018/07/31","2018/09/28","Y","查詢",1000000,1000000,100.00,29076743,29.08,0.22,""
"182","1447","力鵬","2018/07/31","1",627919204,8000000,5.65,12.00,"2018/08/01","2018/09/30","Y","查詢",8000000,"",100.00,74716165,9.34,0.87,""
"183","3038","全台","2018/08/03","3",209107909,5000000,7.00,11.00,"2018/08/03","2018/10/02","Y","查詢",5000000,5000000,100.00,49358951,9.87,2.79,""
"184","6591","動力-KY","2018/08/08","1",659948162,400000,55.00,110.00,"2018/08/10","2018/10/08","Y","查詢",230000,"",57.50,15286879,66.46,0.97,"為兼顧市場機制,依股價及成交量狀況分批買回,故本次庫藏股未能執行完畢。"
"185","2610","華航","2018/08/09","3",935250429,50000000,9.00,14.00,"2018/08/10","2018/10/09","Y","查詢",50000000,50000000,100.00,469526285,9.39,0.91,""
"186","3058","立德","2018/08/09","1",739173956,5000000,5.85,12.67,"2018/08/10","2018/10/09","Y","查詢",3361000,"",67.22,27300795,8.12,1.97,"為兼顧協調市場機制，同時維護股東權益，故本次買回本公司股票未執行完畢。"
"187","1587","吉茂","2018/08/10","3",477534427,1700000,14.84,28.27,"2018/08/13","2018/10/12","Y","查詢",1200000,1200000,70.59,23279450,19.40,1.77,"基於維護股東權益並兼顧市場機制，公司視股價變化、成交量狀況及考量資金的有效運用分批買回，故未全數執行完畢。"
"188","2020","美亞","2018/08/10","3",795651144,3000000,9.73,21.86,"2018/08/13","2018/10/12","Y","查詢",3000000,3000000,100.00,43862157,14.62,1.30,""
"189","8497","格威傳媒","2018/08/10","1",603005004,1000000,32.00,65.00,"2018/08/13","2018/10/12","Y","查詢",999000,"",99.90,45081582,45.13,2.73,"本公司依股價及成交量狀況分批買回，故極少量未執行完畢"
"190","4164","承業醫","2018/08/13","1",3753016003,1000000,30.00,48.00,"2018/08/14","2018/10/13","Y","查詢",1000000,"",100.00,34955961,34.96,0.71,""
"191","6464","台數科","2018/08/13","3",4147011727,300000,116.00,160.00,"2018/08/14","2018/10/12","Y","查詢",300000,300000,100.00,35481213,118.27,0.24,""
"192","2496","卓越","2018/08/16","1",557412000,200000,85.00,160.00,"2018/08/17","2018/10/16","Y","查詢",199000,"",99.50,21956346,110.33,1.14,"基於資金有效運用及維護股東權益並兼顧市場機制，本公司視股價變化及成交量狀況，採行分批買回策略，故未執行完畢。"
"193","3018","同開","2018/08/21","1",260775029,1000000,29.00,74.00,"2018/08/22","2018/10/19","Y","查詢",0,"",0.00,0,0.00,0.00,"買回期間股價逐漸穩定，為維護股東權益並兼顧市場機制，將資金運用於營運需要，故未執行完畢。"
"194","3545","敦泰","2018/08/23","1",7781439865,8000000,17.22,37.26,"2018/08/24","2018/10/23","Y","查詢",7689000,6110000,96.11,192095557,24.98,2.58,"因執行期間股價回穩，為綜合考量股東權益，故未完全執行完畢。"
"195","2107","厚生","2018/09/07","3",6471481602,10000000,14.00,18.00,"2018/09/10","2018/11/09","Y","查詢",10000000,10000000,100.00,146402765,14.64,2.70,""
"196","3661","世芯-KY","2018/09/11","3",2200284185,2000000,64.26,167.94,"2018/09/12","2018/11/10","Y","查詢",1925000,1925000,96.25,157947222,82.05,3.12,"為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採分批買回策略，故未執行完畢。"
"197","5388","中磊","2018/09/11","1",4205236382,10000000,34.30,86.30,"2018/09/12","2018/11/09","Y","查詢",10000000,10000000,100.00,496186692,49.62,4.07,""
"198","2385","群光","2018/09/13","1",15486339459,10000000,55.00,70.00,"2018/09/14","2018/11/13","Y","查詢",3591000,3591000,35.91,211419429,58.87,0.49,"因兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採分批買回，故未能執行完畢。"
"199","6412","群電","2018/09/13","1",3823956660,10000000,40.00,50.00,"2018/09/14","2018/11/13","Y","查詢",1864000,948000,18.64,75678728,40.60,0.48,"因兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採分批買回，故未能執行完畢。"
"200","2727","王品","2018/09/17","1",2670294000,3850000,56.00,115.00,"2018/09/19","2018/11/17","Y","查詢",3723000,"",96.70,299730552,80.51,4.84,"為維護股東權益並兼顧市場機制，視股價變化及成交量狀況，故未執行完畢。"
"201","2455","全新","2018/09/18","1",849942530,5000000,68.00,128.00,"2018/09/19","2018/11/18","Y","查詢",3864000,3864000,77.28,241470692,62.49,2.09,"為維護整體股東權益，兼顧市場機制並考量資金有效運用，故本次未執行完畢"
"202","3583","辛耘","2018/09/18","1",1400634411,811000,57.00,76.00,"2018/09/19","2018/11/18","Y","查詢",811000,"",100.00,50659340,62.47,1.00,""
"203","2323","中環","2018/09/20","3",719102000,50000000,5.00,10.00,"2018/09/21","2018/11/19","Y","查詢",50000000,50000000,100.00,294892096,5.90,2.74,""
"204","4155","訊映","2018/09/20","1",410678792,1500000,20.00,35.00,"2018/09/21","2018/11/20","Y","查詢",1500000,"",100.00,39590911,26.39,1.97,""
"205","5522","遠雄","2018/09/27","3",31608869078,41773000,25.00,40.00,"2018/09/28","2018/11/27","Y","查詢",29174000,29174000,69.84,1017605409,34.88,3.49,"為維護整體股東權益，兼顧市場機制並考量資金有效運用，故本次未執行完畢"
"206","3037","欣興","2018/10/04","1",26484591392,50000000,14.00,29.00,"2018/10/05","2018/12/04","Y","查詢",49100000,"",98.20,803247140,16.36,3.26,"為兼顧協調市場機制，有效資金運用，故未全數買回。"
"207","6197","佳必琪","2018/10/04","3",1846563087,8000000,20.00,35.00,"2018/10/05","2018/12/04","Y","查詢",8000000,8000000,100.00,227315043,28.41,6.15,""
"208","6416","瑞祺電通","2018/10/05","1",1621193452,1200000,85.00,115.00,"2018/10/08","2018/12/07","Y","查詢",603000,393000,50.25,51269354,85.02,0.89,"本公司基於維護股東權益與兼顧市場機制，並考量後續資金運用，故未予以執行完畢。"
"209","6531","愛普","2018/10/08","1",1848903889,1500000,40.00,80.00,"2018/10/09","2018/12/08","Y","查詢",258000,"",17.20,11252517,43.61,0.34,"為兼顧市場機制不影響股價，本公司視股價變化及整體市場狀況，並考量本公司現金流量狀況，採行分批買回策略，故未執行完畢。"
"210","9934","成霖","2018/10/08","3",1957541455,12000000,11.03,24.47,"2018/10/09","2018/12/08","Y","查詢",12000000,12000000,100.00,186188289,15.52,3.26,""
"211","2459","敦吉","2018/10/26","3",3100916269,2000000,30.00,45.00,"2018/10/26","2018/12/25","Y","查詢",1400000,1400000,70.00,50109079,35.79,1.30,"因兼顧市場機制不影響股價,本公司視股價變化及成交量狀況採分批買回,故未能執行完畢"
"212","3055","蔚華科","2018/10/26","1",2042996000,8000000,20.00,39.00,"2018/10/29","2018/12/28","Y","查詢",8000000,"",100.00,214093595,26.76,7.73,""
"213","2020","美亞","2018/10/29","3",795651144,3000000,9.31,21.06,"2018/10/30","2018/12/29","Y","查詢",3000000,3000000,100.00,42732428,14.24,1.30,""
"214","4916","事欣科","2018/10/29","1",507923586,1500000,20.00,40.00,"2018/10/30","2018/12/29","Y","查詢",1125000,"",75.00,32678645,29.05,1.37,"本次未執行完畢之原因：為維護股東權益並兼顧市場機制，本公司視股價變化及成交量狀況，採行分批買回策略，故未執行完畢。"
"215","4977","眾達-KY","2018/10/30","1",938892262,800000,45.00,85.00,"2018/10/31","2018/12/30","Y","查詢",372000,372000,46.50,21288221,57.23,0.63,"為維護股東權益並兼顧市場機制，視股價及成交量狀況分批買回，故未執行完畢。"
"216","6464","台數科","2018/10/30","3",4304663137,300000,116.00,160.00,"2018/10/31","2018/12/28","Y","查詢",300000,300000,100.00,34965103,116.55,0.24,""
"217","2387","精元","2018/11/01","1",4823022879,3000000,12.50,20.00,"2018/11/01","2018/12/27","Y","查詢",3000000,1953099,100.00,50595199,16.87,1.52,""
"218","2492","華新科","2018/11/01","1",14100181000,1000000,140.00,200.00,"2018/11/02","2018/12/28","Y","查詢",1000000,1000000,100.00,157358217,157.36,0.21,""
"219","2809","京城銀","2018/11/02","3",25086950964,10000000,25.00,35.00,"2018/11/05","2019/01/03","Y","查詢",10000000,10000000,100.00,314864720,31.49,0.87,""
"220","1568","倉佑","2018/11/05","1",571128826,1000000,12.53,29.39,"2018/11/06","2019/01/05","Y","查詢",554000,"",55.40,10711878,19.34,0.54,"為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況分批買回，故未執行完畢。"
"221","2303","聯電","2018/11/05","3",103319741769,300000000,7.55,20.80,"2018/11/06","2019/01/05","Y","查詢",300000000,300000000,100.00,3349946428,11.17,2.41,""
"222","2939","凱羿-KY","2018/11/05","3",1264877278,800000,100.00,165.00,"2018/11/06","2019/01/05","Y","查詢",800000,800000,100.00,96803997,121.00,1.67,""
"223","3032","偉訓","2018/11/05","1",1204953227,4000000,20.00,30.00,"2018/11/06","2019/01/05","Y","查詢",1066000,"",26.65,28220955,26.47,0.94,"為維護股東權益與兼顧市場機制，本公司視股價變化及成交量狀況分批買回，故未能執行完畢。"
"224","5243","乙盛-KY","2018/11/05","3",3965256936,5000000,22.00,38.00,"2018/11/06","2019/01/04","Y","查詢",5000000,5000000,100.00,152260379,30.45,2.88,""
"225","3591","艾笛森","2018/11/06","1",1947089866,3000000,12.00,19.00,"2018/11/07","2019/01/06","Y","查詢",3000000,"",100.00,42336922,14.11,2.40,""
"226","5203","訊連","2018/11/06","3",2864576596,2000000,50.00,80.00,"2018/11/07","2019/01/06","Y","查詢",1394000,1394000,69.70,95623165,68.60,1.64,"本公司為兼顧市場機制及維護全體股東權益，視股價變化及成交量狀況採分批買回策略，因而未依原預定數量完全執行完畢。"
"227","1445","大宇","2018/11/07","3",200021711,6000000,6.50,10.00,"2018/11/09","2019/01/07","Y","查詢",6000000,6000000,100.00,48293533,8.05,4.33,""
"228","1454","台富","2018/11/07","3",148991435,6000000,6.00,11.00,"2018/11/08","2019/01/06","Y","查詢",6000000,6000000,100.00,49793274,8.30,4.28,""
